1;Facultad de Ingeniería;Libertador General San Martin 1109 (O);Capital,SanJuan;0264-4222074 - 4222643
1;1;BioIngenieria;Bioingeniero;Once Semestres;Grado
1;2;Ingeniería Electrónica;Ingeniero en Electrónica;Once Semestres;Grado
1;3;Ingeniería Electrica;Ingeniero en Electrico;Diez Semestres;Grado
1;4;Ingeniería en Agrimensura;Ingeniero Agrimensor;Diez Semestres;Grado
1;5;Ingeniería Electromecánica;Ingeniero Electromecánico;Once Semestres;Grado
1;6;Ingenieria Industrial;Ingeniero Industrial;Diez Semestres;Grado
1;7;Ingenieria Mecánica;Ingeniero Mecánico;Once Semestres;Grado
1;8;Ingenieria Civil;Ingeniero Civil;Diez Semestres;Grado
1;9;Ingenieria en Minas;Ingeniero en Minas;Diez Semestres;Grado
1;10;Ingenieria en Metalúrgica Extractiva;Ingeniero Metalurgista;Diez Semestres;Grado
1;11;Ingenieria en Alimentos;Ingeniero en Alimentos ;Diez Semestres;Grado
1;12;Ingeniería en Agronómica;Ingeniero Agrónomo;Diez Semestres;Grado
2;Facultad de Ciencias Exactas Físicas y Naturales;Avenida Ignacio de la Roza 590 (Oeste);Rivadavia,San Juan;0264-4260353 - 4260355
2;1;Licenciatura en Sistemas de Información;Licenciado en Sistemas de Información;Diez Semestres;Grado
2;2;Licenciatura en Ciencias de la Computación;Licenciado en Ciencias de la Computación;Diez Semestres;Grado
2;3;Tecnicatura en Programación Web;Técnico en Programación Web;Tres Semestres;Pre grado
2;4;Tecnicatura Universitaria en Sistemas de Información;Técnico Universitario en Programación Web;Seis semestres;Pre grado
2;5;Tecnicatura Universitaria en Programación;Técnico Universitario en Programación;Seis Semestres;Pre grado
2;6;Tecnicatura Universitaria en Biología;Técnico Universitario en Biología;Seis semestres;Pre grado
2;7;Tecnicatura Universitaria en Exploración Geológica;Técnico Universitario en Exploración Geológica;Seis semestres;Pre grado
2;8;Licenciatura en Biología;Licenciado en Biología;Once semestres;Grado
2;9;Licenciatura en Astronomía;Licenciado en Astronomía;Once semestres;Grado
2;10;Licenciatura en Geofísica;Licenciado en Geofísica;Once semestres;Grado
2;11;Licenciatura en Física;Licenciado en Física;Once semestres;Grado
2;12;Licenciatura en Ciencias Geológicas;Licenciado en Ciencias Geológicas;Once semestres;Grado
3;Facultad de Ciencias Sociales;Avenida Ignacio de la Roza 590 (Oeste);Rivadavia,San Juan;0264-4231949 - 4230314
3;1;Licenciatura en Comunicación Social;Licenciado en Comunicación Social;Nueve semestres;Grado
3;2;Licenciatura en Trabajo Social;Licenciado en Trabajo Social;Once semestres;Grado
3;3;Licenciatura en Sociología;Licenciado en Sociología;Once semestres;Grado
3;4;Licenciatura en Administración;Licenciado en Administración;Once semestres;Grado
3;5;Contador Público Nacional;Contador Público Nacional;Once semestres;Grado
3;6;Profesorado en Sociología;Profesor en Sociología;Ocho semestres;Grado
3;7;Abogacía;Abogado;Once semestres;Grado
3;8;Licenciatura en Ciencias Políticas;Licenciado en Ciencias Políticas;Once semestres;Grado
3;9;Tecnicatura en Administración Pública;Técnico en Administración Pública;Seis semestres;Pre grado
4;Facultad de Arquitectura, Urbanismo y Diseño;Avenida Ignacio de la Roza 590 (Oeste);Rivadavia,San Juan;0264-4232395 - 4323259
4;1;Arquitectura y Urbanismo;Arquitecto;Doce semestres;Grado
4;2;Diseño Gráfico;Diseñador Gráfico;Diez semestres;Grado
4;3;Diseño Industrial;Diseñador Industrial;Diez semestres;Grado
4;4;Tecnicatura Universitaria en Diseño de Indumentaria y Textil;Técnico Universitario en Diseño de Indumentaria y Textil;Seis semestres;Pre grado
4;5;Tecnicatura Universitaria en Higiene y Seguridad Laboral en la Industria de la Construcción;Técnico Universitario en Higiene y Seguridad Laboral en la Industria de la Construcción;Seis semestres;Pre grado
5;Facultad de Filosofía, Humanidades y Artes; Avenida Ignacio de la Roza 230 (Oeste);Capital,San Juan;0264-4228422
5;1;Licenciatura en Matemática;Licenciado en Matemático;Diez semestres;Grado
5;2;Licenciatura en Geografía;Licenciado en Geografía;Diez semestres;Grado
5;3;Licenciatura en Inglés;Licenciado en Inglés;Diez semestres;Grado
5;4;Licenciatura en Historia;Licenciado en Historia;Diez semestres;Grado
5;5;Licenciatura en Letras;Licenciado en Letras;Diez semestres;Grado
5;6;Licenciatura en Filosofía;Licenciado en Filosofía;Diez semestres;Grado
5;7;Licenciatura en Artes Visuales;Licenciado en Artes Visuales;Diez semestres;Grado
5;8;Licenciatura en Ciencias de la Educación;Licenciado en Ciencias de la Educación;Diez semestres;Grado
5;9;Profesorado en Teatro;Profesor de Teatro;Ocho semestres;Grado
5;10;Intérprete Musical;Intérprete Musical;Seis semestres;Pre grado
